REGISTRO_COMPLEXO;SITUACAO_COMPLEXO;DATA_SITUACAO_COMPLEXO;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL
14792;FECHADO;15/10/2014;RS;NÃO;COMERCIAL
17693;FECHADO;10/08/2015;SP;NÃO;COMERCIAL
18290;FECHADO;25/03/2014;SP;NÃO;COMERCIAL
13452;FECHADO;15/05/2014;AM;NÃO;COMERCIAL
13452;FECHADO;15/05/2014;AM;NÃO;COMERCIAL
13452;FECHADO;15/05/2014;AM;NÃO;COMERCIAL
5336;FECHADO;01/06/2015;SP;NÃO;COMERCIAL
5336;FECHADO;01/06/2015;SP;NÃO;COMERCIAL
5336;FECHADO;01/06/2015;SP;NÃO;COMERCIAL
5336;FECHADO;01/06/2015;SP;NÃO;COMERCIAL
24040;FECHADO;03/11/2015;RS;NÃO;COMERCIAL
24040;FECHADO;03/11/2015;RS;NÃO;COMERCIAL
24040;FECHADO;03/11/2015;RS;NÃO;COMERCIAL
24065;FECHADO;02/02/2015;RS;NÃO;COMERCIAL
24065;FECHADO;02/02/2015;RS;NÃO;COMERCIAL
24056;FECHADO;30/10/2014;RS;NÃO;COMERCIAL
24056;FECHADO;30/10/2014;RS;NÃO;COMERCIAL
24056;FECHADO;30/10/2014;RS;NÃO;COMERCIAL
24059;FECHADO;29/10/2015;RS;NÃO;COMERCIAL
24059;FECHADO;29/10/2015;RS;NÃO;COMERCIAL
24059;FECHADO;29/10/2015;RS;NÃO;COMERCIAL
24061;FECHADO;28/10/2015;SC;NÃO;COMERCIAL
24061;FECHADO;28/10/2015;SC;NÃO;COMERCIAL
24063;FECHADO;02/02/2015;RS;NÃO;COMERCIAL
24063;FECHADO;02/02/2015;RS;NÃO;COMERCIAL
30234;EM FUNCIONAMENTO;10/09/2015;RJ;NÃO;NÃO COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2262;FECHADO;23/07/2015;SP;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2874;FECHADO;30/07/2015;PE;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
2263;FECHADO;04/06/2015;PB;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
13281;FECHADO;27/05/2015;SP;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
2264;FECHADO;11/06/2015;RJ;NÃO;COMERCIAL
6420;FECHADO;13/02/2014;MG;NÃO;COMERCIAL
16156;FECHADO;31/05/2014;RS;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
27082;FECHADO;17/06/2015;MG;NÃO;COMERCIAL
28049;FECHADO;01/04/2014;CE;NÃO;COMERCIAL
28049;FECHADO;01/04/2014;CE;NÃO;COMERCIAL
28049;FECHADO;01/04/2014;CE;NÃO;COMERCIAL
28049;FECHADO;01/04/2014;CE;NÃO;COMERCIAL
28049;FECHADO;01/04/2014;CE;NÃO;COMERCIAL
28260;EM FUNCIONAMENTO;01/01/2014;RJ;NÃO;NÃO COMERCIAL
31020;FECHADO;19/11/2015;RS;NÃO;COMERCIAL
17739;FECHADO;13/08/2015;RJ;NÃO;COMERCIAL
6645;FECHADO;18/03/2015;PR;NÃO;COMERCIAL
6645;FECHADO;18/03/2015;PR;NÃO;COMERCIAL
6645;FECHADO;18/03/2015;PR;NÃO;COMERCIAL
6645;FECHADO;18/03/2015;PR;NÃO;COMERCIAL
16898;FECHADO;02/04/2015;MG;NÃO;COMERCIAL
27219;FECHADO;01/02/2016;RS;NÃO;COMERCIAL
30573;FECHADO;01/01/2015;BA;NÃO;COMERCIAL
14929;FECHADO;21/05/2014;RO;NÃO;COMERCIAL
19548;FECHADO;30/04/2016;MS;NÃO;COMERCIAL
25742;FECHADO;13/05/2016;SP;NÃO;COMERCIAL
29748;FECHADO;22/10/2015;MG;NÃO;COMERCIAL
30684;FECHADO;10/11/2015;SP;NÃO;COMERCIAL
30196;FECHADO;03/12/2015;RS;NÃO;COMERCIAL
30196;FECHADO;03/12/2015;RS;NÃO;COMERCIAL
6739;FECHADO;02/09/2014;SP;NÃO;COMERCIAL
6739;FECHADO;02/09/2014;SP;NÃO;COMERCIAL
26024;FECHADO;03/10/2016;RJ;NÃO;COMERCIAL
33144;EM FUNCIONAMENTO;21/02/2014;SC;NÃO;NÃO COMERCIAL CINECLUBE
3120;FECHADO;25/06/2014;SP;NÃO;COMERCIAL
