REGISTRO_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;REGISTRO_COMPLEXO
5002405;FECHADA;15/10/2014;130;1;1;1;NÃO;NÃO;NÃO;14792
5002922;FECHADA;10/08/2015;210;0;0;0;NÃO;NÃO;NÃO;17693
5002194;FECHADA;15/05/2014;225;1;1;1;SIM;NÃO;SIM;13452
5002195;FECHADA;15/05/2014;210;1;1;1;SIM;NÃO;SIM;13452
5002196;FECHADA;15/05/2014;254;1;1;1;SIM;NÃO;SIM;13452
5001645;FECHADA;01/06/2015;244;2;0;29;NÃO;NÃO;SIM;5336
5001646;FECHADA;01/06/2015;158;2;0;2;NÃO;NÃO;NÃO;5336
5001647;FECHADA;01/06/2015;143;2;0;2;NÃO;NÃO;SIM;5336
5001648;FECHADA;01/06/2015;158;2;0;2;NÃO;NÃO;SIM;5336
5003797;FECHADA;03/11/2015;242;0;0;0;NÃO;NÃO;NÃO;24040
5003798;FECHADA;03/11/2015;107;0;0;0;NÃO;NÃO;NÃO;24040
5003799;FECHADA;03/11/2015;105;0;0;0;NÃO;NÃO;NÃO;24040
5003869;FECHADA;02/02/2015;260;0;0;0;NÃO;NÃO;NÃO;24065
5003870;FECHADA;02/02/2015;237;0;0;0;NÃO;NÃO;NÃO;24065
5003842;FECHADA;30/10/2014;124;0;0;0;NÃO;NÃO;NÃO;24056
5003844;FECHADA;30/10/2014;90;0;0;0;NÃO;NÃO;NÃO;24056
5003843;FECHADA;30/10/2014;117;0;0;0;NÃO;NÃO;NÃO;24056
5003852;FECHADA;29/10/2015;155;0;0;0;NÃO;NÃO;NÃO;24059
5003853;FECHADA;29/10/2015;103;0;0;0;NÃO;NÃO;NÃO;24059
5003854;FECHADA;29/10/2015;66;0;0;0;NÃO;NÃO;NÃO;24059
5003859;FECHADA;28/10/2015;129;0;0;0;NÃO;NÃO;NÃO;24061
5003860;FECHADA;28/10/2015;130;0;0;0;NÃO;NÃO;NÃO;24061
